eid,rid,salary
1,3,19118
2,3,21496
3,3,22498
4,3,22334
5,3,20434
6,3,24349
7,3,19084
8,3,19108
9,3,21947
10,3,22293
11,3,22866
12,3,24176
13,3,22891
14,3,19619
15,3,18730
16,3,24250
17,3,23947
18,3,21030
19,3,21586
20,3,19547
21,3,21834
22,3,21064
23,3,24423
24,3,18447
25,3,24501
26,3,22646
27,3,18812
28,3,20616
29,3,22644
30,3,19669
31,3,18112
32,3,18861
33,3,23907
34,3,20778
35,3,20663
36,3,21862
37,3,21414
38,3,22503
39,3,21614
40,3,24415
41,3,22584
42,3,24138
43,3,20666
44,3,24985
45,3,24038
46,3,20085
47,3,18484
48,3,22334
49,3,20227
50,3,23271
51,3,21104
52,3,23003
53,3,21707
54,3,24157
55,3,18761
56,3,21871
57,3,23513
58,3,21683
59,3,20910
60,3,22326
61,3,19951
62,3,23623
63,3,18841
64,3,24884
65,3,21990
66,3,22116
67,3,24578
68,3,24368
69,3,18383
70,3,23899
71,3,19096
72,3,22798
73,3,24668
74,3,24518
75,3,24927
76,3,20561
77,3,20420
78,3,19387
79,3,18162
80,3,23814
81,3,21359
82,3,22028
83,3,21425
84,3,18353
85,3,23929
86,3,18009
87,3,20387
88,3,23594
89,3,22634
90,3,18373
91,3,24427
92,3,23457
93,3,23251
94,3,24929
95,3,20431
96,3,23723
97,3,18430
98,3,23642
99,3,20272
100,3,20469
101,3,21197
102,3,19776
103,3,21192
104,3,19284
105,3,21939
106,3,19157
107,3,21242
108,3,23584
109,3,24514
110,3,23102
111,3,21400
112,3,18809
113,3,23790
114,3,21955
115,3,21232
116,3,23467
117,3,22935
118,3,22835
119,3,22137
120,3,22997
121,3,20685
122,3,18280
123,3,19752
124,3,18562
125,3,18104
126,3,20508
127,3,23590
128,3,21545
129,3,21246
130,3,20533
131,3,21718
132,3,24599
133,3,23745
134,3,24812
135,3,19720
136,3,23284
137,3,23139
138,3,18843
139,3,19529
140,3,20934
141,3,24440
142,3,24595
143,3,20046
144,3,24788
145,3,20558
146,3,20110
147,3,23113
148,3,18491
149,3,19367
150,3,22071
151,3,19006
152,3,24286
153,3,23533
154,3,20596
155,3,20084
156,3,23748
157,3,21410
158,3,20320
159,3,19082
160,3,21405
161,3,24798
162,3,20870
163,3,19930
164,3,21564
165,3,22817
166,3,24883
167,3,21947
168,3,20509
169,3,24841
170,3,24303
171,3,19205
172,3,20914
173,3,23750
174,3,20399
175,3,18734
176,3,22249
177,3,20477
178,3,22695
179,3,20588
180,3,18193
181,3,20804
182,3,18382
183,3,21217
184,3,18408
185,3,23992
186,3,20469
187,3,22972
188,3,20023
189,3,21520
190,3,23729
191,3,21403
192,3,19000
193,3,24644
194,3,22512
195,3,21192
196,3,24349
197,3,18076
198,3,23369
199,3,24774
200,3,23697
201,3,20568
202,3,22165
203,3,24939
204,3,24867
205,3,19158
206,3,24855
207,3,20625
208,3,22453
209,3,19163
210,3,20713
211,3,19078
212,3,21846
213,3,21665
214,3,24922
215,3,22255
216,3,21636
217,3,20118
218,3,21018
219,3,21077
220,3,19790
221,3,24234
222,3,22863
223,3,24112
224,3,24679
225,3,21554
226,3,18136
227,3,18527
228,3,24521
229,3,23018
230,3,20337
231,3,21458
232,3,21381
233,3,21515
234,3,19517
235,3,20048
236,3,21998
237,3,23158
238,3,22844
239,3,18400
240,3,20139
241,3,20338
242,3,22118
243,3,20063
244,3,18332
245,3,22306
246,3,18556
247,3,18838
248,3,18974
249,3,21849
250,3,23522
251,3,18636
252,3,22086
253,3,24070
254,3,23266
255,3,20388
256,3,19172
257,3,23322
258,3,21729
259,3,24881
260,3,18394
261,3,18613
262,3,23515
263,3,18213
264,3,23688
265,3,19051
266,3,19871
267,3,24020
268,3,24652
269,3,20727
270,3,22934
271,3,20615
272,3,23316
273,3,18659
274,3,24616
275,3,21967
276,3,24090
277,3,20986
278,3,21771
279,3,22459
280,3,23084
281,3,22298
282,3,24244
283,3,19238
284,3,23686
285,3,22553
286,3,18451
287,3,21382
288,3,23481
289,3,20059
290,3,23904
291,3,22649
292,3,23337
293,3,19770
294,3,24767
295,3,18837
296,3,23737
297,3,24322
298,3,18263
299,3,18380
300,3,22498
301,3,22214
302,3,20775
303,3,19189
304,3,23061
305,3,19948
306,3,21306
307,3,20330
308,3,22305
309,3,18664
310,3,20073
311,3,20244
312,3,22317
313,3,18218
314,3,23800
315,3,21905
316,3,18598
317,3,19645
318,3,22563
319,3,24443
320,3,18658
321,3,18217
322,3,18821
323,3,20748
324,3,20220
325,3,19110
326,3,22247
327,3,23130
328,3,24600
329,3,19027
330,3,20324
331,3,20807
332,3,18556
333,3,22646
334,3,18955
335,3,19277
336,3,22537
337,3,20459
338,3,23641
339,3,19233
340,3,22152
341,3,21634
342,3,20771
343,3,18530
344,3,22958
345,3,21194
346,3,23451
347,3,19541
348,3,18877
349,3,23595
350,3,23542
351,3,19635
352,3,18319
353,3,21278
354,3,22920
355,3,18645
356,3,21793
357,3,24616
358,3,18204
359,3,18894
360,3,18833
361,3,23810
362,3,20967
363,3,22598
364,3,24656
365,3,18537
366,3,18212
367,3,21021
368,3,20147
369,3,23209
370,3,19192
371,3,20883
372,3,24514
373,3,24809
374,3,23978
375,3,24935
376,3,24774
377,3,19862
378,3,23951
379,3,20008
380,3,18309
381,3,20234
382,3,24412
383,3,20884
384,3,22306
385,3,21851
386,3,23762
387,3,21986
388,3,19123
389,3,23580
390,3,24379
391,3,23213
392,3,21659
393,3,21393
394,3,18540
395,3,21287
396,3,22293
397,3,23645
398,3,20769
399,3,21316
400,3,24882
401,3,21419
402,3,23155
403,3,23435
404,3,20212
405,3,23472
406,3,24477
407,3,21525
408,3,19500
409,3,18418
410,3,22604
411,3,18339
412,3,22929
413,3,23628
414,3,18587
415,3,22818
416,3,18667
417,3,19052
418,3,24646
419,3,18593
420,3,18436
421,3,19703
422,3,24966
423,3,23459
424,3,21899
425,3,19250
426,3,20151
427,3,20268
428,3,22972
429,3,24988
430,3,22609
431,3,18157
432,3,20869
433,3,19503
434,3,21364
435,3,23181
436,3,24713
437,3,24067
438,3,19056
439,3,22049
440,3,18407
441,3,22675
442,3,18869
443,3,24303
444,3,19607
445,3,22825
446,3,18483
447,3,21559
448,3,22475
449,3,24425
450,3,19503
451,3,22892
452,3,18518
453,3,24731
454,3,21524
455,3,18126
456,3,21222
457,3,18686
458,3,18100
459,3,18186
460,3,18368
461,3,22709
462,3,23927
463,3,21738
464,3,19081
465,3,19317
466,3,22998
467,3,21120
468,3,23816
469,3,19272
470,3,21214
471,3,24419
472,3,24848
473,3,19156
474,3,22839
475,3,19486
476,3,18601
477,3,23564
478,3,20477
479,3,24283
480,3,18688
481,3,23049
482,3,21415
483,3,19838
484,3,20162
485,3,18901
486,3,20117
487,3,19248
488,3,21157
489,3,19474
490,3,22963
491,3,23731
492,3,24329
493,3,23328
494,3,23605
495,3,22787
496,3,22267
497,3,18324
498,3,18434
499,3,20961
500,3,24368
501,1,7615
502,1,8085
503,1,6928
504,1,7593
505,1,6638
506,1,6646
507,1,7927
508,1,7252
509,1,7406
510,1,6862
511,1,6592
512,1,7614
513,1,8480
514,1,8246
515,1,7100
516,1,6533
517,1,7456
518,1,6891
519,1,6861
520,1,6596
521,1,8234
522,1,7173
523,1,7608
524,1,6576
525,1,6737
526,1,8317
527,1,7031
528,1,8211
529,1,8010
530,1,8039
531,1,8295
532,1,6658
533,1,7804
534,1,7902
535,1,7997
536,1,8346
537,1,7993
538,1,7034
539,1,7655
540,1,8011
541,1,6603
542,1,8059
543,1,6964
544,1,8129
545,1,7384
546,1,6752
547,1,7103
548,1,8055
549,1,7299
550,1,8189
551,1,7107
552,1,6865
553,1,7286
554,1,8450
555,1,8500
556,1,8410
557,1,8389
558,1,6974
559,1,7058
560,1,6844
561,1,8086
562,1,6570
563,1,6646
564,1,6657
565,1,7959
566,1,8205
567,1,6590
568,1,8175
569,1,8481
570,1,6890
571,1,7168
572,1,7056
573,1,7534
574,1,7868
575,1,7335
576,1,7888
577,1,7875
578,1,6889
579,1,6739
580,1,7861
581,1,7324
582,1,7076
583,1,7130
584,1,7182
585,1,8181
586,1,8334
587,1,7836
588,1,7828
589,1,8019
590,1,6540
591,1,8173
592,1,7527
593,1,6844
594,1,7014
595,1,7964
596,1,8192
597,1,7570
598,1,7354
599,1,7777
600,1,7243
601,1,7603
602,1,7395
603,1,8450
604,1,8153
605,1,7818
606,1,7111
607,1,7823
608,1,6835
609,1,6987
610,1,7109
611,1,8251
612,1,7752
613,1,7608
614,1,6951
615,1,7806
616,1,7741
617,1,7723
618,1,8394
619,1,7715
620,1,7247
621,1,8152
622,1,6963
623,1,7067
624,1,6935
625,1,7054
626,1,7893
627,1,7060
628,1,7426
629,1,7809
630,1,6676
631,1,7834
632,1,7620
633,1,7689
634,1,7617
635,1,6664
636,1,7684
637,1,8197
638,1,7395
639,1,7958
640,1,6762
641,1,7355
642,1,6815
643,1,6534
644,1,8294
645,1,7770
646,1,7542
647,1,6859
648,1,6626
649,1,6514
650,1,6586
651,1,6614
652,1,7355
653,1,6918
654,1,8295
655,1,6728
656,1,8288
657,1,6776
658,1,7728
659,1,7498
660,1,7819
661,1,7893
662,1,8050
663,1,7725
664,1,7859
665,1,6557
666,1,6648
667,1,6616
668,1,8338
669,1,7065
670,1,7120
671,1,6698
672,1,8193
673,1,7972
674,1,6724
675,1,7490
676,1,7808
677,1,7059
678,1,8376
679,1,8254
680,1,8244
681,1,7524
682,1,6888
683,1,7821
684,1,8349
685,1,8325
686,1,8283
687,1,7516
688,1,8495
689,1,7688
690,1,7306
691,1,6898
692,1,7056
693,1,6767
694,1,8102
695,1,6627
696,1,7147
697,1,8259
698,1,8455
699,1,7666
700,1,7147
701,1,8074
702,1,7444
703,1,7472
704,1,6881
705,1,8242
706,1,8453
707,1,7160
708,1,7586
709,1,7414
710,1,6934
711,1,8367
712,1,6609
713,1,7595
714,1,8058
715,1,6726
716,1,6616
717,1,7919
718,1,7737
719,1,8106
720,1,7282
721,1,8110
722,1,8213
723,1,6907
724,1,7144
725,1,7559
726,1,6732
727,1,6965
728,1,7124
729,1,6675
730,1,6989
731,1,7668
732,1,7014
733,1,8275
734,1,7556
735,1,7012
736,1,6666
737,1,7511
738,1,6932
739,1,7867
740,1,7586
741,1,8272
742,1,7912
743,1,7324
744,1,7132
745,1,7852
746,1,8038
747,1,6872
748,1,7112
749,1,6786
750,1,8418
751,1,6666
752,1,8107
753,1,7587
754,1,7996
755,1,8034
756,1,6556
757,1,7220
758,1,7457
759,1,8100
760,1,7579
761,1,7489
762,1,7217
763,1,6879
764,1,6677
765,1,6664
766,1,6953
767,1,8085
768,1,7186
769,1,6758
770,1,7467
771,1,7966
772,1,6542
773,1,8376
774,1,7509
775,1,6931
776,1,8417
777,1,7954
778,1,7718
779,1,6613
780,1,7463
781,1,7622
782,1,7991
783,1,7866
784,1,6765
785,1,6559
786,1,8167
787,1,6816
788,1,8222
789,1,8422
790,1,7765
791,1,7117
792,1,7864
793,1,6803
794,1,8076
795,1,7694
796,1,6819
797,1,8018
798,1,8126
799,1,7764
800,1,7244
801,1,8179
802,1,7873
803,1,7274
804,1,6694
805,1,8125
806,1,7508
807,1,7659
808,1,8172
809,1,8323
810,1,6921
811,1,7611
812,1,6873
813,1,8392
814,1,6854
815,1,7731
816,1,8138
817,1,8048
818,1,8367
819,1,6983
820,1,8309
821,1,7888
822,1,7077
823,1,7544
824,1,7169
825,1,8401
826,1,8165
827,1,8386
828,1,8024
829,1,7453
830,1,7672
831,1,7317
832,1,7519
833,1,8189
834,1,6602
835,1,7270
836,1,7146
837,1,7776
838,1,7664
839,1,7572
840,1,6691
841,1,7823
842,1,6952
843,1,7710
844,1,7259
845,1,8018
846,1,6626
847,1,7499
848,1,7268
849,1,6612
850,1,8322
851,1,7384
852,1,7812
853,1,6627
854,1,6677
855,1,8376
856,1,6785
857,1,7929
858,1,7192
859,1,6933
860,1,8140
861,1,6534
862,1,6984
863,1,8493
864,1,7153
865,1,7174
866,1,6544
867,1,8377
868,1,7396
869,1,7932
870,1,7694
871,1,7375
872,1,7553
873,1,6643
874,1,7599
875,1,7638
876,1,8133
877,1,7553
878,1,8287
879,1,7382
880,1,7726
881,1,8379
882,1,6840
883,1,7321
884,1,7652
885,1,8221
886,1,7543
887,1,7404
888,1,7199
889,1,7803
890,1,7826
891,1,7805
892,1,7483
893,1,7205
894,1,6974
895,1,7605
896,1,6871
897,1,7836
898,1,8381
899,1,7620
900,1,8277
901,1,6610
902,1,8259
903,1,7525
904,1,8441
905,1,7188
906,1,8366
907,1,7849
908,1,7106
909,1,6833
910,1,8013
911,1,7289
912,1,7783
913,1,8185
914,1,6730
915,1,8069
916,1,7264
917,1,7081
918,1,7260
919,1,8303
920,1,7300
921,1,6729
922,1,6864
923,1,8320
924,1,7657
925,1,7007
926,1,8283
927,1,8072
928,1,6869
929,1,8119
930,1,8222
931,1,7779
932,1,7638
933,1,6590
934,1,7584
935,1,7683
936,1,7045
937,1,7726
938,1,7739
939,1,7824
940,1,7696
941,1,7025
942,1,7040
943,1,6745
944,1,8139
945,1,6669
946,1,6839
947,1,7069
948,1,7146
949,1,8152
950,1,7947
951,1,8406
952,1,6602
953,1,8215
954,1,8252
955,1,8012
956,1,8283
957,1,6658
958,1,7017
959,1,7276
960,1,7850
961,1,6541
962,1,8433
963,1,6762
964,1,7696
965,1,7111
966,1,7358
967,1,6769
968,1,7806
969,1,7897
970,1,6798
971,1,7206
972,1,7031
973,1,7902
974,1,8023
975,1,7110
976,1,7190
977,1,6896
978,1,7057
979,1,7892
980,1,6783
981,1,6836
982,1,6901
983,1,8226
984,1,7518
985,1,7121
986,1,7153
987,1,7990
988,1,8121
989,1,8389
990,1,7225
991,1,7260
992,1,8098
993,1,7325
994,1,7712
995,1,7993
996,1,7001
997,1,7633
998,1,7275
999,1,7574
1000,1,8407
1001,1,7247
1002,1,6649
1003,1,7088
1004,1,7668
1005,1,7744
1006,1,6990
1007,1,8116
1008,1,7108
1009,1,8437
1010,1,6790
1011,1,8122
1012,1,7268
1013,1,7792
1014,1,7062
1015,1,7594
1016,1,8337
1017,1,7707
1018,1,7311
1019,1,8108
1020,1,7826
1021,1,6779
1022,1,6821
1023,1,7330
1024,1,7903
1025,1,6880
1026,1,6557
1027,1,7352
1028,1,6741
1029,1,8290
1030,1,7923
1031,1,7793
1032,1,7927
1033,1,8314
1034,1,8471
1035,1,6868
1036,1,7926
1037,1,7985
1038,1,6946
1039,1,6734
1040,1,8327
1041,1,8476
1042,1,7031
1043,1,7552
1044,1,7721
1045,1,7015
1046,1,7864
1047,1,6826
1048,1,7323
1049,1,6634
1050,1,7441
1051,1,7042
1052,1,8112
1053,1,7005
1054,1,6774
1055,1,6967
1056,1,7839
1057,1,7015
1058,1,7215
1059,1,7117
1060,1,8194
1061,1,6921
1062,1,8215
1063,1,8156
1064,1,7562
1065,1,7459
1066,1,8167
1067,1,7324
1068,1,7567
1069,1,6632
1070,1,8377
1071,1,8314
1072,1,7283
1073,1,7293
1074,1,7461
1075,1,6570
1076,1,8406
1077,1,7048
1078,1,6918
1079,1,8347
1080,1,7986
1081,1,7027
1082,1,6643
1083,1,7308
1084,1,7873
1085,1,6601
1086,1,6652
1087,1,7950
1088,1,6698
1089,1,6957
1090,1,7752
1091,1,7011
1092,1,7716
1093,1,8203
1094,1,7522
1095,1,6911
1096,1,7670
1097,1,8013
1098,1,7334
1099,1,8003
1100,1,6537
1101,1,6583
1102,1,7083
1103,1,7943
1104,1,8370
1105,1,8105
1106,1,8195
1107,1,7243
1108,1,8409
1109,1,6663
1110,1,7908
1111,1,7355
1112,1,6820
1113,1,6759
1114,1,7806
1115,1,7222
1116,1,8319
1117,1,6579
1118,1,7134
1119,1,7124
1120,1,8418
1121,1,6785
1122,1,7734
1123,1,8463
1124,1,8226
1125,1,7735
1126,1,6998
1127,1,8406
1128,1,7186
1129,1,7806
1130,1,7339
1131,1,7500
1132,1,8169
1133,1,7095
1134,1,7393
1135,1,8018
1136,1,6567
1137,1,7330
1138,1,7249
1139,1,6841
1140,1,6897
1141,1,6596
1142,1,8221
1143,1,6722
1144,1,8422
1145,1,6756
1146,1,6833
1147,1,7990
1148,1,6742
1149,1,8156
1150,1,7458
1151,1,6731
1152,1,8412
1153,1,7521
1154,1,7636
1155,1,8203
1156,1,6834
1157,1,7008
1158,1,7831
1159,1,8398
1160,1,7621
1161,1,6871
1162,1,8037
1163,1,8127
1164,1,7584
1165,1,7036
1166,1,6666
1167,1,7025
1168,1,7923
1169,1,7733
1170,1,6678
1171,1,7361
1172,1,7229
1173,1,6914
1174,1,8290
1175,1,6524
1176,1,6564
1177,1,8352
1178,1,7927
1179,1,6704
1180,1,7444
1181,1,8281
1182,1,8287
1183,1,6931
1184,1,7434
1185,1,8434
1186,1,8317
1187,1,7938
1188,1,6906
1189,1,7181
1190,1,6880
1191,1,7491
1192,1,6779
1193,1,7243
1194,1,6984
1195,1,6954
1196,1,7369
1197,1,7174
1198,1,6620
1199,1,8125
1200,1,8354
1201,1,7901
1202,1,8199
1203,1,7961
1204,1,8470
1205,1,6968
1206,1,6729
1207,1,8158
1208,1,7356
1209,1,8194
1210,1,8302
1211,1,7737
1212,1,6968
1213,1,7970
1214,1,7503
1215,1,7796
1216,1,6634
1217,1,7277
1218,1,6919
1219,1,7518
1220,1,8346
1221,1,8408
1222,1,7669
1223,1,7430
1224,1,7974
1225,1,8278
1226,1,6520
1227,1,7898
1228,1,7032
1229,1,6914
1230,1,7624
1231,1,7142
1232,1,6977
1233,1,8354
1234,1,8229
1235,1,7536
1236,1,8147
1237,1,7379
1238,1,7940
1239,1,7944
1240,1,8166
1241,1,6986
1242,1,6627
1243,1,6564
1244,1,8297
1245,1,7939
1246,1,8114
1247,1,6693
1248,1,7876
1249,1,7596
1250,1,6515
1251,1,6962
1252,1,7533
1253,1,6830
1254,1,7479
1255,1,8361
1256,1,7155
1257,1,7303
1258,1,8327
1259,1,7476
1260,1,7268
1261,1,7225
1262,1,7509
1263,1,7312
1264,1,8095
1265,1,7954
1266,1,7859
1267,1,6918
1268,1,7471
1269,1,7056
1270,1,7757
1271,1,7335
1272,1,7900
1273,1,7554
1274,1,7493
1275,1,7167
1276,1,6617
1277,1,7849
1278,1,6899
1279,1,7084
1280,1,7510
1281,1,8136
1282,1,8081
1283,1,7803
1284,1,8410
1285,1,7548
1286,1,7480
1287,1,7508
1288,1,8299
1289,1,7663
1290,1,7035
1291,1,7945
1292,1,8404
1293,1,6818
1294,1,6637
1295,1,6831
1296,1,7674
1297,1,8172
1298,1,6890
1299,1,8482
1300,1,6638
1301,1,7045
1302,1,7299
1303,1,7164
1304,1,6819
1305,1,7391
1306,1,7531
1307,1,6852
1308,1,7806
1309,1,7613
1310,1,6990
1311,1,8431
1312,1,8008
1313,1,6547
1314,1,7088
1315,1,7856
1316,1,8229
1317,1,7087
1318,1,7580
1319,1,6539
1320,1,7431
1321,1,8129
1322,1,7367
1323,1,8480
1324,1,6865
1325,1,7802
1326,1,7850
1327,1,6742
1328,1,7951
