rid,rname,rdescription,rrequirements_json
11,Junior Area Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
12,Assistant Area Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
13,Senior Area Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
14,Lead Area Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
15,Head of Area Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
16,Junior District Supervisor,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
17,Assistant District Supervisor,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
18,Senior District Supervisor,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
19,Lead District Supervisor,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
20,Head of District Supervisor,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
21,Junior Regional Operations Director,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
22,Assistant Regional Operations Director,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
23,Senior Regional Operations Director,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
24,Lead Regional Operations Director,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
25,Head of Regional Operations Director,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
26,Junior Product Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
27,Assistant Product Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
28,Senior Product Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
29,Lead Product Manager,Leading a team of professionals in Management project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
30,Head of Product Manager,Defining the long-term strategy for Management departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
31,Junior HR Manager,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
32,Assistant HR Manager,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
33,Senior HR Manager,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
34,Lead HR Manager,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
35,Head of HR Manager,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
36,Junior HR Specialist,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
37,Assistant HR Specialist,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
38,Senior HR Specialist,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
39,Lead HR Specialist,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
40,Head of HR Specialist,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
41,Junior Recruitment Officer,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
42,Assistant Recruitment Officer,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
43,Senior Recruitment Officer,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
44,Lead Recruitment Officer,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
45,Head of Recruitment Officer,Defining the long-term strategy for HR departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
46,Junior Welfare Coordinator,Assisting in daily tasks and learning HR operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
47,Assistant Welfare Coordinator,Supporting the department with HR administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
48,Senior Welfare Coordinator,Executing high-level HR independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
49,Lead Welfare Coordinator,Leading a team of professionals in HR project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
