eid,gid
5520,1
7601,1
14448,1
10298,1
11746,1
10254,1
8002,1
18559,1
19364,1
5169,1
11327,1
17047,1
5884,1
4891,1
17796,1
13643,1
8685,1
19771,1
1823,2
13889,3
16353,3
7609,3
7607,3
17531,3
16133,3
14344,3
5713,3
10794,3
5765,3
6209,3
8265,3
5230,3
18340,3
8068,3
9947,3
14138,3
7641,3
11375,3
6363,3
8821,3
14453,3
9033,3
11556,3
12959,3
15070,3
8639,3
7935,3
19858,3
12467,3
18541,3
11777,3
17457,3
11460,3
5208,3
9993,3
6214,3
10906,3
5697,3
7511,3
8037,3
8776,3
4815,3
11619,3
11991,3
5209,3
11576,3
8852,3
9542,3
16070,3
18348,3
11167,3
8993,3
8783,3
6909,3
15304,3
5134,3
16893,3
6270,3
8659,3
8272,3
14619,3
13597,3
8575,3
12434,3
16078,3
14675,3
10989,3
7524,3
13096,3
8279,3
9304,3
12660,3
11701,3
10967,3
6223,3
9614,3
6384,3
13618,3
10041,3
12406,3
10220,3
13290,3
9811,3
7580,3
5651,3
8754,3
12029,3
17827,3
9376,3
19918,3
19419,3
15086,3
16631,3
18884,3
13157,4
14998,4
9534,4
15674,4
18033,4
13383,4
8149,4
12995,4
17591,4
10562,4
17182,4
16237,5
11247,5
7056,5
16813,5
6834,5
5334,5
14932,5
18299,5
11591,5
19424,5
16592,5
12944,5
11585,5
4785,5
8853,5
16917,5
10633,5
12189,5
9037,5
12927,5
19044,5
12624,5
15214,5
18014,5
13045,5
5010,5
9285,5
4744,5
8599,5
15533,5
10360,5
9451,5
19144,5
10629,5
19630,5
15192,5
7923,5
19042,5
13266,5
6343,5
15884,5
11895,5
10966,5
13529,5
6370,5
5420,5
7717,5
12535,5
17651,5
18948,5
18636,5
10788,5
5234,5
17248,5
16192,5
10818,5
10692,6
13972,6
9579,6
13960,6
18155,6
19326,6
12791,6
4765,6
7014,6
10115,6
8705,6
14787,6
15827,6
5055,6
14338,6
14835,6
1069,7
583,7
16323,7
3176,7
3112,7
1692,7
1794,7
5539,7
2148,7
15986,7
10185,7
1047,7
7005,7
2565,7
1301,7
66,8
492,8
141,8
122,8
372,8
327,8
225,8
374,8
10652,9
5827,9
12877,9
15998,9
7794,9
11126,9
12838,9
10482,9
9223,9
7111,9
13756,9
16775,9
352,10
322,11
160,12
490,12
117,12
251,12
321,12
299,12
17661,13
5408,13
16877,13
10255,13
8733,13
14863,13
8406,13
17334,14
9202,14
17806,14
14639,14
10337,14
16820,14
11953,14
19932,15
9484,15
19181,15
16940,15
4978,15
14015,15
13499,15
5856,15
12099,15
19227,15
13059,15
13862,15
10712,16
6901,16
18069,16
8957,16
5927,16
6015,16
5882,16
13605,16
19910,16
11686,16
18675,16
5924,16
15624,16
19016,16
17631,16
15504,16
19160,16
14737,16
6628,16
17300,16
8094,16
19581,16
16136,16
10955,16
10840,16
5400,16
18350,16
12808,16
14742,16
19665,16
19944,16
9770,16
13678,16
18133,16
17926,16
13241,16
19536,16
18023,16
19151,16
5298,16
10811,16
15759,16
11031,16
12887,16
7375,16
10595,16
14679,16
15827,16
7727,16
6126,16
17220,16
17323,16
10081,16
5092,16
18226,16
6470,16
16319,16
12846,16
5560,16
8888,16
11033,16
5210,16
8285,16
11720,16
6029,16
13028,16
16413,16
6565,16
17448,16
13768,16
8412,16
13532,16
11911,16
16043,16
17005,16
8499,16
16555,16
18556,16
8169,16
10285,16
15474,16
14582,16
14271,16
15330,16
14909,16
7364,16
16206,16
19270,16
18449,16
6744,16
12303,16
16888,16
11695,16
14162,16
5741,16
11245,16
5829,16
7468,16
16587,16
5279,17
3402,17
7661,17
6141,17
1674,17
4558,17
14569,17
10459,17
16942,17
11045,17
9005,17
18971,17
659,17
13402,17
16471,17
2394,17
13833,17
7722,17
13606,17
7069,17
2800,17
5311,17
10151,17
5727,17
355,17
3243,17
11254,17
15803,17
17612,17
2125,17
13215,17
5668,17
1819,17
720,17
3378,17
1143,17
8565,17
10465,17
17815,17
16267,17
3312,17
1789,17
3414,17
13236,17
10593,17
17831,17
4312,17
7365,17
339,17
394,17
5776,17
7951,17
12722,17
5343,18
9761,18
8517,18
9227,18
10466,18
7215,18
5263,18
9552,18
14066,18
14711,18
13066,18
18281,18
13633,19
17914,19
18247,19
18831,19
15523,19
6623,19
16326,19
8344,19
12335,19
10426,19
18307,19
18691,19
4769,19
10803,19
12258,19
14330,19
5247,19
16065,19
5099,19
436,20
82,20
397,20
51,20
30,20
377,20
211,20
121,20
76,20
376,20
209,20
328,20
166,20
453,20
