EVid,Eid
76,13815
156,7981
251,9048
255,15769
314,8746
181,6962
272,11323
316,15528
11,12438
471,18749
477,5539
33,19998
326,9523
108,12286
82,6276
413,11526
293,18082
497,6197
262,17219
295,15876
441,15337
283,11940
171,17133
72,12308
412,19120
269,6723
91,13368
111,17961
423,19312
219,11729
461,9739
305,4842
170,16829
304,6259
240,6236
251,10057
444,19398
296,15261
432,8564
310,11294
69,16098
145,17322
65,11716
76,8701
198,6497
432,9174
156,18028
259,12594
453,8505
111,5676
37,19902
93,4808
412,11250
198,13648
247,10283
237,7966
89,5440
126,13331
11,14631
224,14140
73,5976
310,15970
89,7833
401,7942
193,4966
499,17536
93,15214
72,11428
179,11360
181,5797
182,12684
378,7286
53,6844
305,14623
157,19368
14,11904
476,9619
403,9776
313,9239
37,8381
243,13692
89,13145
68,12626
396,7844
185,10086
479,19998
169,12476
69,15791
320,11211
288,15911
394,14504
448,17299
305,18398
295,8955
210,4747
369,11127
213,13593
185,17393
259,16385
32,9942
404,8982
429,16807
126,9477
490,10558
208,16192
444,7336
243,8572
171,5255
391,12135
357,17124
293,19663
477,10545
448,9237
370,16691
283,6672
288,18783
301,11021
35,13650
288,19349
273,10229
169,10137
432,18535
44,19054
271,17074
196,13878
299,7519
202,14107
414,9842
339,19810
224,18781
137,8360
259,16809
73,11341
417,14460
357,6311
442,16838
83,7722
72,17270
295,9073
287,16247
341,17390
374,16970
481,6816
392,19634
465,9974
44,12042
405,6549
223,11756
448,5393
315,4704
446,9014
113,17633
185,11483
340,8920
298,11548
80,9873
35,10758
295,18205
236,8626
464,6960
35,16393
405,18641
68,14006
299,8647
183,9583
158,17440
191,18644
208,11908
163,11214
341,13263
409,19432
217,8794
178,16374
47,19783
114,14337
40,4827
213,18246
66,5128
412,4984
444,12115
198,9814
80,5105
91,7725
307,11441
167,4722
99,13034
145,13818
392,19021
45,17578
296,11078
314,13589
74,17055
314,18063
156,7580
191,16470
327,15626
448,12529
341,17502
258,18442
156,5448
330,6654
231,18967
471,18436
459,13474
309,7431
495,18100
14,7473
42,14525
317,9281
58,11020
15,6900
354,10338
233,4875
403,6931
162,14416
449,12358
91,13421
489,9232
476,11578
366,9395
283,7458
379,12716
414,16937
65,11876
272,6401
169,12765
48,10645
310,9619
228,17666
163,6056
432,19557
382,6725
145,14279
135,17577
392,12845
214,19900
305,4759
343,6191
163,7735
495,13272
259,14264
413,16310
374,8385
87,10657
228,9679
310,16829
141,10916
42,8729
214,9412
196,13802
24,8244
468,13784
137,7055
320,10224
385,6591
111,16591
40,10132
98,13185
405,9793
214,8873
492,18773
489,13984
480,13171
32,5408
164,12346
165,5748
264,5212
78,13645
180,18763
180,14711
143,15787
244,12184
155,11020
289,14701
187,10716
76,7723
158,6916
283,15874
303,12219
190,10857
432,15095
294,10713
305,15883
299,13589
262,16262
45,5571
224,8898
240,18980
169,18895
278,6248
14,11058
392,10056
191,5917
182,7021
156,8309
392,19637
256,14211
498,8099
198,13563
274,4790
339,4803
22,8886
105,7665
180,12154
227,16079
335,13182
310,11590
157,13288
37,14745
107,17609
145,19974
219,9847
473,8607
259,19415
218,14369
441,19357
340,10912
327,11527
277,9945
23,5622
83,12622
95,9248
113,14460
461,6562
262,13357
117,15535
11,19683
156,8225
294,16648
399,16858
327,12904
67,14983
69,8856
88,13099
381,18231
237,18048
401,16032
79,14854
214,11187
447,19031
434,17557
30,17592
451,12231
498,12645
108,15629
123,14452
297,5031
314,18417
68,10752
188,10758
42,11040
65,6370
69,17126
40,12913
91,12811
271,13888
14,14163
122,16760
467,18586
288,11258
499,14692
284,13411
354,5126
115,10394
69,16590
35,15356
411,6573
346,6140
68,18741
460,11946
183,13347
239,13002
328,18912
183,13912
323,19889
354,8494
38,13650
233,11814
326,12640
470,13647
330,15193
183,15985
92,5487
241,14766
11,10998
357,15823
380,8382
351,18527
23,5334
62,11190
399,8901
441,16606
26,14030
183,4994
183,18890
37,6549
149,12136
88,11439
391,18576
448,17450
221,11369
206,19808
157,13666
323,6244
441,7510
185,9384
314,15060
470,9079
365,9401
183,14815
22,5290
178,7273
297,17146
73,19755
91,17033
169,6613
80,19539
108,15036
490,12062
233,11742
412,7990
22,19618
124,8376
154,9168
188,12809
46,13006
240,17264
235,14113
228,18998
394,15277
22,16677
213,11073
186,15524
76,10398
259,9801
198,7770
328,9455
137,5128
126,10741
498,18733
62,18881
297,18661
465,11359
73,15885
439,16531
444,19396
180,8934
432,16928
499,11613
285,13137
346,14031
58,14565
71,9442
71,12589
126,6152
403,13598
26,12946
374,15510
251,8130
357,17258
346,11587
137,6259
441,8851
255,6216
370,15522
111,8209
255,17675
67,17049
15,19923
271,5930
70,11680
70,12961
480,13466
357,17764
11,4973
490,5564
485,13052
376,7244
132,9631
236,15769
68,8003
203,13411
258,15914
379,16708
448,16094
66,13992
303,11581
180,5590
129,12010
262,14266
108,19473
13,14745
91,6087
500,19656
252,11595
27,6731
20,9797
301,15863
333,13821
126,6366
371,17611
181,11359
490,6540
296,12448
156,8589
103,18618
202,16755
313,11186
310,5290
364,8838
326,11327
381,5165
377,15178
230,15021
228,12150
180,15423
180,11158
264,11559
362,10512
238,5428
271,8318
233,18454
23,12878
43,7444
73,7825
183,8457
394,17571
456,14293
37,18504
391,19806
295,9861
441,18240
219,14763
69,9447
